PID_de_identity,group,LearningProfileDay1,LearningProfileDay2,LearningProfileDay3,LearningProfileDay4,LearningProfileDay5,LearningRate,AccGainTrain,AccGainUntrain,AccTrainPre,AccTrainPost,AccUntrainPre,AccUntrainPost,RTGainTrain,RTGainUntrain,RTTrainPre,RTUntrainPre,RTTrainPost,RTUntrainPost,StrategyTrainPre,StrategyTrainPost,StrategyUntrainPre,StrategyUntrainPost
27,1,NaN,NaN,NaN,NaN,NaN,NaN,-0.038461538,0.173913043,0.928571429,0.892857143,0.821428571,0.964285714,-0.45912223,-0.324091209,3944.25,4417.083333,2133.357143,2985.545455,2,1,2,1
28,1,4.471542732,3.96300831,4.098984765,3.002986193,2.861666667,-0.417977425,0,-0.111111111,0.892857143,0.892857143,0.964285714,0.857142857,-0.688832294,-0.426816806,4926.833333,3903.571429,1533.071429,2237.461538,2,2,2,2
29,2,3.188738095,2.944122546,2.5216275,2.04247619,1.920285714,-0.343855112,0,-0.035714286,0.964285714,0.964285714,1,0.964285714,-0.600902379,0.04294106,4353.571429,3384.142857,1737.5,3529.461538,2,1,1,1
30,2,4.606717949,3.487047619,3.103714286,3.334290303,3.21522288,-0.293574745,0,-0.142857143,0.928571429,0.928571429,1,0.857142857,-0.477670223,-0.219135091,3896.142857,4028.5,2035.071429,3145.714286,2,1,2,2
31,2,4.15771125,2.885557406,2.760952381,2.370289114,2.181142857,-0.446840508,0.12,-0.111111111,0.892857143,1,0.964285714,0.857142857,-0.512472862,-0.073667342,3355.857143,3031,1636.071429,2807.714286,2,1,2,2
32,1,6.031157049,4.180764061,3.172095238,3.250640095,2.48302381,-0.802639045,0,0.086956522,0.892857143,0.892857143,0.821428571,0.892857143,-0.260807933,-0.058682905,10329.71429,10085.21429,7635.642857,9493.384615,2,2,2,2
33,1,8.006948571,7.113889807,8.286509259,4.482525931,4.00278501,-1.0639691,0.136363636,-0.19047619,0.785714286,0.892857143,0.75,0.607142857,-0.141387746,0.643538999,10069.91667,8590,8646.153846,14118,1,1,2,1
34,2,8.824699074,7.609566075,6.647688824,5.6918925,4.9493325,-0.966840672,0.227272727,0.181818182,0.785714286,0.964285714,0.785714286,0.928571429,-0.585308756,-0.06496936,7750,4922.833333,3213.857143,4603,2,1,2,1
35,2,8.832282407,7.181294375,8.054603538,9.466193333,6.451131429,-0.2477403,1.35E-16,-0.083333333,0.821428571,0.821428571,0.857142857,0.785714286,-0.196727498,0.009539603,5299.571429,4684.923077,4257,4729.615385,1,1,2,1
36,2,10.15727855,9.605435897,7.734720999,6.675380952,6.744810249,-0.975499154,0.130434783,0.095238095,0.821428571,0.928571429,0.75,0.821428571,-0.258939337,0.06751829,8294,7878,6146.357143,8409.909091,2,2,2,2
